,Name,Descriptio,Area,Population,pop,area,pop_den,pop_den_weighted,pop_weighted,prob
26,Tampines North,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Tampines,-,0,2577452,0,0,0,0
27,Paya Lebar,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Paya Lebar,-,0,7129828,0,0,0,0
28,Changi Airport,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Changi,-,0,35569888,0,0,0,0
29,Yio Chu Kang North,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Ang Mo Kio,-,0,1483045,0,0,0,0
30,Lorong Halus North,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Sengkang,-,0,937358,0,0,0,0
31,Pulau Punggol Timor,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Seletar,-,0,1276758,0,0,0,0
32,Pulau Punggol Barat,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Seletar,-,0,2077741,0,0,0,0
33,Woodlands Regional Centre,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Woodlands,-,0,603697,0,0,0,0
34,Pulau Seletar,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Simpang,-,0,1633044,0,0,0,0
35,Simpang North,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Simpang,-,0,3497060,0,0,0,0
36,Tanjong Irau,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Simpang,-,0,1088887,0,0,0,0
37,Mandai East,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Mandai,-,0,7333545,0,0,0,0
38,Simpang South,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Simpang,-,0,2176086,0,0,0,0
39,Punggol Canal,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Punggol,-,0,1283017,0,0,0,0
40,Mandai West,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Mandai,-,0,4446353,0,0,0,0
41,Coney Island,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Punggol,-,0,1217022,0,0,0,0
42,The Wharves,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Sembawang,-,0,1657900,0,0,0,0
43,Central Water Catchment,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Central Water Catchment,10,10,37649720,2.65606224959973e-07,2.65606224959973e-05,0,0
44,North-Eastern Islands,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",North-Eastern Islands,60,60,68158140,8.80305712567861e-07,8.80305712567861e-05,1,0
45,Tengah,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Tengah,10,10,7470101,1.33866998585427e-06,0.000133866998585427,0,0
46,Tuas View,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Tua,10,10,5752422,1.73839819123145e-06,0.000173839819123145,0,0
47,Tuas Promenade,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Tua,10,10,3231129,3.0948934567453e-06,0.00030948934567453,0,0
48,Penjuru Crescent,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Jurong East,10,10,3090948,3.23525339151613e-06,0.000323525339151613,0,0
49,Pasir Ris Wafer Fab Park,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Pasir Ris,20,20,5397344,3.70552627366349e-06,0.000370552627366349,0,0
50,Jurong River,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Jurong East,10,10,2595587,3.85269305170661e-06,0.000385269305170661,0,0
51,Jurong Port,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Jurong East,10,10,2498076,4.00308077096133e-06,0.000400308077096133,0,0
52,Liu Fang,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Boon Lay,10,10,2370497,4.21852463850408e-06,0.000421852463850408,0,0
53,Paya Lebar East,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Paya Lebar,10,10,2289754,4.36728137607795e-06,0.000436728137607795,0,0
54,Lim Chu Kang,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Lim Chu Kang,90,90,17731183,5.07580345879911e-06,0.000507580345879911,1,0
55,Samulun,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Boon Lay,10,10,1966905,5.08412963513744e-06,0.000508412963513744,0,0
56,Tukang,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Boon Lay,10,10,1906696,5.24467455745436e-06,0.000524467455745436,0,0
57,Kranji,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Sungei Kadut,20,20,3701356,5.40342512311704e-06,0.000540342512311704,0,0
58,Seletar Aerospace Park,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Seletar,20,20,3670763,5.44845853573222e-06,0.000544845853573222,0,0
59,Sengkang West,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Sengkang,10,10,1692588,5.90811231085178e-06,0.000590811231085178,0,0
60,Reservoir View,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Sungei Kadut,20,20,3328427,6.008844418099000000E-06,0.0006008844418099,0,0
