,Name,Descriptio,Area,Population,pop,area,pop_den,pop_den_weighted,pop_weighted,prob,Inf_pop day 0,Inf_pop day 1,Inf_pop day 2,Inf_pop day 3,Inf_pop day 4,Inf_pop day 5,Inf_pop day 6,Inf_pop day 7,Inf_pop day 8,Inf_pop day 9,Inf_pop day 10,Inf_pop day 11,Inf_pop day 12,Inf_pop day 13,Inf_pop day 14,Inf_pop day 15,Inf_pop day 16,Inf_pop day 17,Inf_pop day 18,Inf_pop day 19
32,Pulau Punggol Barat,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Seletar,-,0,2077741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Woodlands Regional Centre,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Woodlands,-,0,603697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Pulau Seletar,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Simpang,-,0,1633044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Simpang North,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Simpang,-,0,3497060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Tanjong Irau,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Simpang,-,0,1088887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Mandai East,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Mandai,-,0,7333545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Simpang South,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Simpang,-,0,2176086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Punggol Canal,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Punggol,-,0,1283017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Mandai West,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Mandai,-,0,4446353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Coney Island,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Punggol,-,0,1217022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,The Wharves,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Sembawang,-,0,1657900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Central Water Catchment,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Central Water Catchment,10,10,37649720,2.65606224959973e-07,2.65606224959973e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,North-Eastern Islands,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",North-Eastern Islands,60,60,68158140,8.80305712567861e-07,8.80305712567861e-05,1,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
45,Tengah,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Tengah,10,10,7470101,1.33866998585427e-06,0.000133866998585427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Tuas View,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Tua,10,10,5752422,1.73839819123145e-06,0.000173839819123145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Tuas Promenade,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Tua,10,10,3231129,3.0948934567453e-06,0.00030948934567453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Penjuru Crescent,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Jurong East,10,10,3090948,3.23525339151613e-06,0.000323525339151613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
